Feinstaubmesssystem Messdaten ;;;;;;;;;;;;;;;;;;;;;;
PM1.0; PM2.5; PM10; Temperature; Humidity; Pressure; Acc-X; Acc-Y; Acc-Z; CO2; Time; Date; Fix; Quality; Voltage; Current; Power; Location; Location; Speed (knots); Angle; Altidude; Satellites 
0;0;0;16.84;44.78;993.42;0.19;62.44;-5.5;15.51; 13:39:43:406; 26:12:21;0;0;5.04;203.92;1028;;;;;;
174;8;1;16.81;44.76;993.43;359.44;61.69;3.19; nan; 13:39:58:0; 26:12:21;0;0;5.12;155.8;788.8;;;;;;
0;0;0;16.66;44.32;993.39;0;0;0; nan; 13:40:16:90; 26:12:21;0;0;5.13;158.32;811.2;;;;;;
190;22;1;16.53;44.22;993.41;0.37;-3.44;-1.62; nan; 13:40:29:715; 26:12:21;1;1;5.1;238.8;1216; 4900.78N; 822.93E;8.85;303.87;112.1;4
0;0;0;16.33;44.03;993.53;168.44;13.88;-3.06;0; 13:40:47:627; 26:12:21;1;1;5.08;177.4;903.2; 4900.78N; 822.89E;0.4;68.16;111.2;4
199;9;0;16.32;44.28;993.58;164.5;14.38;-0.69; nan; 13:40:58:0; 26:12:21;1;1;5.14;144.92;784.8; 4900.78N; 822.88E;0.2;47.31;111.1;4
199;9;0;16.34;44.15;993.56;165.62;13.5;1.19;386.01; 13:41:5:0; 26:12:21;1;1;4.88;171.4;850.4; 4900.78N; 822.88E;0.11;288.49;111.3;4
222;13;0;16.36;44.06;993.51;273.06;19.12;-16.06;386.57; 13:41:12:0; 26:12:21;1;1;5.12;147.4;755.2; 4900.78N; 822.88E;0.41;24.77;111.3;4
257;12;0;16.29;43.85;993.48;353.88;16.06;-15.13;384.63; 13:41:20:0; 26:12:21;1;1;5.12;148.6;827.2; 4900.79N; 822.88E;0.45;13.2;111.3;5
250;13;1;16.35;44.36;993.46;13.38;54.44;-2.69; nan; 13:41:27:0; 26:12:21;1;1;5.13;166.72;852; 4900.79N; 822.88E;3.11;296.13;111.3;5
239;18;2;16.18;44.03;993.41;4.75;58;-1.75; nan; 13:41:34:0; 26:12:21;1;1;5.1;169.92;879.2; 4900.79N; 822.86E;8.18;268.7;111.3;5
0;0;0;16.05;44.12;993.32;1.44;64.87;-0.5;0; 13:41:36:934; 26:12:21;1;1;5.04;202.72;1016; 4900.79N; 822.84E;16.74;12.23;109.7;5
197;8;1;15.95;43.98;993.35;0.88;64.75;-2.87; nan; 13:41:54:0; 26:12:21;1;1;5.03;183.92;980.8; 4900.80N; 822.78E;9.11;278.65;113.7;5
172;3;0;15.81;43.96;993.36;358.87;65.06;2.19; nan; 13:42:1:0; 26:12:21;1;1;5.13;150.4;769.6; 4900.80N; 822.75E;9.63;279.89;112.1;6
0;0;0;15.77;43.93;993.32;356.56;-1.06;1.5;0; 13:42:12:0; 26:12:21;1;1;4.83;232.52;1119.2; 4900.80N; 822.70E;11.32;261.19;111.9;5
213;7;0;15.72;43.76;993.34;1;60.06;-1;0; 13:42:19:657; 26:12:21;1;1;5.07;170.4;866.4; 4900.80N; 822.66E;10.74;261.49;125.6;6
190;12;0;15.67;43.58;993.36;0.06;61.63;0.13;288.4; 13:42:19:657; 26:12:21;1;1;4.93;173.6;882.4; 4900.80N; 822.66E;10.74;261.49;125.6;6
0;0;0;15.58;43.5;993.38;33.88;65.87;-4.19;0; 13:42:51:334; 26:12:21;1;1;4.89;189.12;936; 4900.82N; 822.53E;8.98;296.96;120.5;6
170;12;0;15.62;43.7;993.35;0;0;0; nan; 13:43:13:0; 26:12:21;1;1;5.04;184.8;933.6; 4900.81N; 822.48E;9.27;256.32;112.9;6
160;12;0;15.57;43.64;993.35;18.87;61.37;4.19; nan; 13:43:20:0; 26:12:21;1;1;5.08;220.6;1128.8; 4900.81N; 822.45E;9.06;275.88;111.7;6
161;9;0;15.5;43.85;993.36;18.31;61.31;-3.62; nan; 13:43:27:0; 26:12:21;1;1;5.11;173.4;889.6; 4900.82N; 822.42E;9.16;281.59;110.1;6
0;0;0;15.41;43.88;993.3;358.5;-1;5.37;0; 13:43:35:378; 26:12:21;1;1;5.14;194.92;916; 4900.82N; 822.38E;14.61;268.67;110.2;5
183;10;0;15.37;43.74;993.28;359.12;-1.06;4.44;252.58; 13:43:51:0; 26:12:21;1;1;5.12;191;887.2; 4900.83N; 822.32E;9.66;276.18;111.7;6
204;19;3;15.29;43.57;993.31;358.63;63.38;-10.25;375.64; 13:43:52:0; 26:12:21;1;1;4.98;154;761.6; 4900.83N; 822.31E;9.52;274.06;111.3;6
209;18;3;15.24;43.78;993.33;1.81;64.19;-13.25;371.49; 13:43:52:0; 26:12:21;1;1;5.06;200.12;1053.6; 4900.83N; 822.31E;9.52;274.06;111.3;6
193;9;1;15.2;43.78;993.31;1.81;65.12;-7.12;373.4; 13:43:52:0; 26:12:21;1;1;5.08;141.32;716.8; 4900.83N; 822.31E;9.52;274.06;111.3;6
190;13;0;15.17;43.77;993.34;1.87;64.94;-3.69;377.72; 13:44:29:0; 26:12:21;1;1;4.88;156.2;761.6; 4900.84N; 822.15E;10.59;276.58;111.3;6
202;15;0;15.13;43.61;993.29;1.87;0.31;0.5;0; 13:44:41:0; 26:12:21;1;1;5.15;152.2;784; 4900.85N; 822.10E;11.01;278.55;112.9;6
192;19;1;15.13;43.65;993.34;0.13;-0.06;3.69;0; 13:44:51:198; 26:12:21;1;1;5.11;160.72;766.4; 4900.85N; 822.04E;12.2;269.25;111.8;6
0;0;0;14.98;43.82;993.42;0.5;61.5;-9.81;0; 13:45:4:441; 26:12:21;0;0;4.82;218;1044.8;;;;;;
163;13;1;15;43.85;993.38;0.13;61.88;-5.62; nan; 13:45:19:0; 26:12:21;1;1;4.96;174.32;846.4; 4900.86N; 821.91E;10.52;279.53;111.8;6
